DIGITAL REPORT
Report Taken on : 21/Feb/21 19:40:57
From: 21/Feb/21  00:00:00
To: 21/Feb/21  19:37:50 
SlNo     STATION NAME          SIGNAL NAME               SIGNAL STATUS               SIGNAL TIME            
1        STN-E           1Aplm                     DOWN                        02/21/2021 00:02:29:921     
2        STN-E           1T1xl                     DOWN                        02/21/2021 00:02:35:609     
3        STN-E           1 Dxl                     DOWN                        02/21/2021 00:02:35:812     
4        STN-E           1Hxl                      DOWN                        02/21/2021 00:02:35:812     
5        STN-E           1DECxl                    DOWN                        02/21/2021 00:02:35:906     
6        STN-E           1T2xl                     DOWN                        02/21/2021 00:02:52:093     
7        STN-E           1Aplm                     UP                          02/21/2021 00:03:29:828     
8        STN-E           1T1xl                     UP                          02/21/2021 00:03:53:031     
9        STN-E           1T2xl                     UP                          02/21/2021 00:04:07:250     
10       STN-E           22 Dxl                    UP                          02/21/2021 00:21:51:125     
11       STN-E           22DECxl                   UP                          02/21/2021 00:21:52:156     
12       STN-E           1T2xl                     DOWN                        02/21/2021 00:40:13:875     
13       STN-E           22 Dxl                    DOWN                        02/21/2021 00:40:14:078     
14       STN-E           22DECxl                   DOWN                        02/21/2021 00:40:14:171     
15       STN-E           1T1xl                     DOWN                        02/21/2021 00:40:21:062     
16       STN-E           1Aplm                     DOWN                        02/21/2021 00:40:33:406     
17       STN-E           1T2xl                     UP                          02/21/2021 00:40:56:078     
18       STN-E           1T1xl                     UP                          02/21/2021 00:41:07:625     
19       STN-E           1Aplm                     UP                          02/21/2021 00:41:11:546     
20       STN-E           WRxl                      UP                          02/21/2021 01:37:23:625     
21       STN-E           101Aoswe                   DOWN                        02/21/2021 01:37:23:750     
22       STN-E           101Boswe                   DOWN                        02/21/2021 01:37:23:765     
23       STN-E           101Axyz                   UP                          02/21/2021 01:37:26:406     
24       STN-E           101Bxyz                   UP                          02/21/2021 01:37:26:453     
25       STN-E           WRxl                      DOWN                        02/21/2021 01:37:37:296     
26       STN-E           BUxl                      UP                          02/21/2021 01:37:53:875     
27       STN-E           1Hxl                      UP                          02/21/2021 01:37:54:937     
28       STN-E           1HECxl                    UP                          02/21/2021 01:37:55:687     
29       STN-E           1Aplm                     DOWN                        02/21/2021 01:54:02:812     
30       STN-E           1T1xl                     DOWN                        02/21/2021 01:54:20:234     
31       STN-E           1Hxl                      DOWN                        02/21/2021 01:54:20:437     
32       STN-E           BUxl                      DOWN                        02/21/2021 01:54:20:437     
33       STN-E           1HECxl                    DOWN                        02/21/2021 01:54:20:531     
34       STN-E           1T2xl                     DOWN                        02/21/2021 01:55:12:187     
35       STN-E           1Aplm                     UP                          02/21/2021 01:57:04:000     
36       STN-E           1T1xl                     UP                          02/21/2021 01:58:36:953     
37       STN-E           1T2xl                     UP                          02/21/2021 01:59:26:140     
38       STN-E           WNxl                      UP                          02/21/2021 02:01:13:562     
39       STN-E           101Bxyz                   DOWN                        02/21/2021 02:01:13:687     
40       STN-E           101Axyz                   DOWN                        02/21/2021 02:01:13:703     
41       STN-E           101Boswe                   UP                          02/21/2021 02:01:16:375     
42       STN-E           101Aoswe                   UP                          02/21/2021 02:01:16:484     
43       STN-E           WNxl                      DOWN                        02/21/2021 02:01:26:718     
44       STN-W           109WRxl                   UP                          02/21/2021 02:02:24:546     
45       STN-W           109 Aoswe                  DOWN                        02/21/2021 02:02:24:671     
46       STN-W           109 Boswe                  DOWN                        02/21/2021 02:02:24:671     
47       STN-W           109Axyz                   UP                          02/21/2021 02:02:27:000     
48       STN-W           109 Bxyz                  UP                          02/21/2021 02:02:27:875     
49       STN-W           109WRxl                   DOWN                        02/21/2021 02:02:35:546     
50       STN-W           109 WNxl                  UP                          02/21/2021 02:07:52:765     
51       STN-W           109 Bxyz                  DOWN                        02/21/2021 02:07:52:890     
52       STN-W           109Axyz                   DOWN                        02/21/2021 02:07:52:906     
53       STN-W           109 Aoswe                  UP                          02/21/2021 02:07:55:203     
54       STN-W           109 Boswe                  UP                          02/21/2021 02:07:55:968     
55       STN-W           109 WNxl                  DOWN                        02/21/2021 02:08:03:750     
56       STN-E           1Hxl                      UP                          02/21/2021 02:08:21:812     
57       STN-E           1HECxl                    UP                          02/21/2021 02:08:22:578     
58       STN-E           1Aplm                     DOWN                        02/21/2021 02:10:53:203     
59       STN-E           1T1xl                     DOWN                        02/21/2021 02:10:58:343     
60       STN-E           1Hxl                      DOWN                        02/21/2021 02:10:58:546     
61       STN-E           1HECxl                    DOWN                        02/21/2021 02:10:58:640     
62       STN-E           1Aplm                     UP                          02/21/2021 02:10:59:328     
63       STN-E           1T2xl                     DOWN                        02/21/2021 02:11:13:671     
64       STN-E           1T1xl                     UP                          02/21/2021 02:11:14:859     
65       STN-E           1T2xl                     UP                          02/21/2021 02:11:24:109     
66       STN-E           1Hxl                      UP                          02/21/2021 02:31:06:859     
67       STN-E           1HECxl                    UP                          02/21/2021 02:31:07:625     
68       STN-E           1 Dxl                     UP                          02/21/2021 02:31:12:359     
69       STN-E           1HECxl                    DOWN                        02/21/2021 02:31:12:953     
70       STN-E           1DECxl                    UP                          02/21/2021 02:31:13:156     
71       STN-E           1Aplm                     DOWN                        02/21/2021 02:39:52:796     
72       STN-E           1T1xl                     DOWN                        02/21/2021 02:39:59:156     
73       STN-E           1 Dxl                     DOWN                        02/21/2021 02:39:59:359     
74       STN-E           1Hxl                      DOWN                        02/21/2021 02:39:59:359     
75       STN-E           1DECxl                    DOWN                        02/21/2021 02:39:59:468     
76       STN-E           1T2xl                     DOWN                        02/21/2021 02:40:17:265     
77       STN-E           1Aplm                     UP                          02/21/2021 02:40:55:421     
78       STN-E           1T1xl                     UP                          02/21/2021 02:41:14:546     
79       STN-E           1T2xl                     UP                          02/21/2021 02:41:25:343     
80       STN-E           WRxl                      UP                          02/21/2021 03:14:03:203     
81       STN-E           101Aoswe                   DOWN                        02/21/2021 03:14:03:328     
82       STN-E           101Boswe                   DOWN                        02/21/2021 03:14:03:343     
83       STN-E           101Axyz                   UP                          02/21/2021 03:14:06:000     
84       STN-E           101Bxyz                   UP                          02/21/2021 03:14:06:046     
85       STN-E           WRxl                      DOWN                        02/21/2021 03:14:16:796     
86       STN-E           BUxl                      UP                          02/21/2021 03:14:22:718     
87       STN-E           1Hxl                      UP                          02/21/2021 03:14:23:781     
88       STN-E           1HECxl                    UP                          02/21/2021 03:14:24:562     
89       STN-E           1Aplm                     DOWN                        02/21/2021 03:33:37:968     
90       STN-E           1T1xl                     DOWN                        02/21/2021 03:33:52:640     
91       STN-E           BUxl                      DOWN                        02/21/2021 03:33:52:828     
92       STN-E           1Hxl                      DOWN                        02/21/2021 03:33:52:843     
93       STN-E           1HECxl                    DOWN                        02/21/2021 03:33:52:937     
94       STN-E           1T2xl                     DOWN                        02/21/2021 03:34:41:593     
95       STN-E           1Aplm                     UP                          02/21/2021 03:37:00:906     
96       STN-E           1T1xl                     UP                          02/21/2021 03:38:18:078     
97       STN-E           1T2xl                     UP                          02/21/2021 03:39:01:968     
98       STN-E           WNxl                      UP                          02/21/2021 03:41:11:171     
99       STN-E           101Bxyz                   DOWN                        02/21/2021 03:41:11:296     
100      STN-E           101Axyz                   DOWN                        02/21/2021 03:41:11:312     
101      STN-E           101Boswe                   UP                          02/21/2021 03:41:13:984     
102      STN-E           101Aoswe                   UP                          02/21/2021 03:41:14:093     
103      STN-E           WNxl                      DOWN                        02/21/2021 03:41:23:640     
104      STN-W           109WRxl                   UP                          02/21/2021 03:45:03:937     
105      STN-W           109 Aoswe                  DOWN                        02/21/2021 03:45:04:062     
106      STN-W           109 Boswe                  DOWN                        02/21/2021 03:45:04:062     
107      STN-W           109Axyz                   UP                          02/21/2021 03:45:06:390     
108      STN-W           109 Bxyz                  UP                          02/21/2021 03:45:07:234     
109      STN-W           109WRxl                   DOWN                        02/21/2021 03:45:14:906     
110      STN-W           109 WNxl                  UP                          02/21/2021 03:51:50:421     
111      STN-W           109 Bxyz                  DOWN                        02/21/2021 03:51:50:546     
112      STN-W           109Axyz                   DOWN                        02/21/2021 03:51:50:562     
113      STN-W           109 Aoswe                  UP                          02/21/2021 03:51:52:875     
114      STN-W           109 Boswe                  UP                          02/21/2021 03:51:53:656     
115      STN-W           109 WNxl                  DOWN                        02/21/2021 03:52:01:390     
116      STN-E           22 Dxl                    UP                          02/21/2021 05:01:34:750     
